c0;V;;c;lgC;t
0.00021;0;1;0;Err:502;0.41
0.00021;0.1;0.9;0.000001;-6;1.12
0.00021;0.2;0.8;0.000002;-5.6989700043;19.93
0.00021;0.3;0.7;0.000003;-5.5228787453;12.13
0.00021;0.5;0.5;0.000005;-5.3010299957;11.24
0.00021;0.8;0.2;0.000008;-5.096910013;1.95
0.00021;1;0;0.00001;-5;1.31
0.0021;0.2;0.8;0.00002;-4.6989700043;1.38
0.0021;0.3;0.7;0.00003;-4.5228787453;0.65
0.0021;0.5;0.5;0.00005;-4.3010299957;5.69
0.0021;0.8;0.2;0.00008;-4.096910013;7.39
0.0021;1;0;0.0001;-4;12.5
0.021;0.2;0.8;0.0002;-3.6989700043;14.96
0.021;0.3;0.7;0.0003;-3.5228787453;14.57
0.021;0.5;0.5;0.0005;-3.3010299957;15.05
0.021;0.8;0.2;0.0008;-3.096910013;16.84
0.021;1;0;0.001;-3;16.87
