VПАВ;Vводы;C;theta;l1;l2;l3;l4;r1;r2;r3;r4
0;15;0;118.35;118;118;118;118;118.7;118.7;118.7;118.7
0.5;14.5;0.0066666667;112.55;113.9;115.7;113.1;115;109.8;111.1;110.4;111.4
1;14;0.0133333333;109.8875;115.4;111.9;109.9;110.2;107.2;111;107.9;105.6
2;13;0.0266666667;100.125;97.7;98;99.8;98;101.6;101.4;101.7;102.8
3;12;0.04;90.8;92.8;91.5;90.2;90;90.9;90.9;89.9;90.2
4;11;0.0533333333;91.1875;91.3;92.2;91.1;91.8;90.7;90.6;90.9;90.9
5;10;0.0666666667;93.45;94.2;90.7;92.1;93.2;93.8;95.9;95.2;92.5
7.5;7.5;0.1;83.55;82.4;85.4;81.8;84.3;84.7;82.5;82.5;84.8
10;5;0.1333333333;78.775;75.8;79.6;78.2;77.7;78.8;77.7;81.7;80.7
12;3;0.16;76.775;73.3;75.9;73.3;72.4;76.2;82.5;82.4;78.2
15;0;0.2;72.825;73.1;71.1;70.2;70.7;73;75.6;75.2;73.7
