Проводимость;h;1;2;3;ПАВ;вода;C;lgC;sigma
2.2;22.5;22.5;22.5;22.5;0;20;0.0000;-;72
28.1;22.3333333333;22.4;22.3;22.3;0.5;19.5;0.0004;-3.37;71.4666666667
63.9;20.8333333333;20.9;20.8;20.8;1;19;0.0009;-3.06;66.6666666667
125.5;17.3333333333;17.3;17.3;17.4;2;18;0.0018;-2.73;55.4666666667
195.1;13.4333333333;13.2;13.5;13.6;3;17;0.0029;-2.53;42.9866666667
238;11.7333333333;11.6;11.6;12;4;16;0.0042;-2.38;37.5466666667
200;11.5666666667;11.3;11.4;12;5;15;0.0055;-2.26;37.0133333333
345;11.2333333333;10.9;11.3;11.5;6;14;0.0071;-2.15;35.9466666667
392;11.7;11.7;11.7;11.7;7;13;0.0089;-2.05;37.44
514;11.4;11.4;11.4;11.4;9;11;0.0136;-1.87;36.48
557;11.3;11.3;11.3;11.3;10;10;0.0166;-1.78;36.16
594;11.1666666667;11.2;11.2;11.1;11;9;0.0203;-1.69;35.7333333333
625;11.3333333333;11.2;11.4;11.4;12;8;0.0249;-1.60;36.2666666667
